WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Hist1h1b	6.1967	6.2036	1.5494	1.5145	6.2001	1.532	1	0.5775
Gsr	5.6329	5.5603	2.0594	1.903	5.5966	1.9812	1	0.5776
Fam98a	5.6369	5.5581	1.1852	1.5893	5.5975	1.3873	1	0.5778
Snord1b	6.2576	6.2274	1.5811	1.688	6.2425	1.6345	1	0.5779
Gm10101	6.1444	6.0325	1.9778	2.0479	6.0884	2.0129	1	0.578
4930519P11Rik	5.5622	5.5376	1.2259	1.6466	5.5499	1.4363	1	0.5782
Map3k10	6.3303	6.0871	1.5331	1.5748	6.2087	1.5539	1	0.5782
Vwa8	5.5325	5.5635	2.0133	1.7933	5.548	1.9033	1	0.5783
Chic2	6.1096	5.9233	2.0817	1.5597	6.0164	1.8207	1	0.5783
AC154328.1	6.1728	6.1603	1.342	1.5597	6.1666	1.4509	1	0.5784
Lactb	5.4779	5.5145	1.3785	1.5748	5.4962	1.4767	1	0.5784
Uqcrfs1	6.2439	6.2104	1.4319	1.7545	6.2272	1.5932	1	0.5786
Klhdc10	6.2188	6.2401	1.4668	1.8432	6.2295	1.655	1	0.5787
Slc25a15	5.5985	5.5506	1.8266	1.3857	5.5746	1.6062	1	0.5787
Cdadc1	6.2034	6.2601	1.745	1.8184	6.2318	1.7817	1	0.5787
2700016F22Rik	6.1224	5.9733	1.2851	1.4027	6.0479	1.3439	1	0.5788
Mrps16	5.7918	5.833	1.2654	1.3173	5.8124	1.2914	1	0.5789
Ensa	5.5066	5.4161	1.4147	1.6745	5.4613	1.5446	1	0.5789
Cox8a	5.8497	5.7649	1.342	1.263	5.8073	1.3025	1	0.5789
Gm11491	5.9678	5.8767	1.0772	1.5893	5.9222	1.3333	1	0.579
Snora16a	6.1974	6.166	1.3231	1.6466	6.1817	1.4849	1	0.579
Prpf40b	5.5841	5.3679	1.84	1.8671	5.476	1.8535	1	0.5794
Chst14	6.2692	6.166	1.6727	1.5597	6.2176	1.6162	1	0.5794
Stambpl1	6.2195	6.1026	1.9294	1.9377	6.1611	1.9336	1	0.5794
Tmem106b	5.582	5.5387	1.2654	1.5296	5.5604	1.3975	1	0.5795
2810454H06Rik	6.1458	6.2462	1.3785	1.6604	6.196	1.5194	1	0.5795
Sigmar1	6.1224	6.1702	1.8135	2.0898	6.1463	1.9517	1	0.5795
Wdr89	6.1081	6.1063	1.2054	1.6182	6.1072	1.4118	1	0.5795
Cep97	5.7738	5.7704	1.3231	1.2815	5.7721	1.3023	1	0.5796
Cul3	6.159	6.0146	1.342	1.4027	6.0868	1.3724	1	0.5796
Gm28042	5.6772	5.6129	1.1427	1.5748	5.6451	1.3588	1	0.5797
Gm5590	5.4338	5.4604	1.745	1.688	5.4471	1.7165	1	0.5797
Gde1	5.706	5.6894	1.4834	1.2449	5.6977	1.3641	1	0.5798
Tmem245	6.2367	6.2301	1.6126	1.9264	6.2334	1.7695	1	0.5798
Dnajc4	5.5517	5.363	1.6727	1.5893	5.4573	1.631	1	0.5799
Jmjd7	5.6772	5.6119	1.1427	1.5748	5.6445	1.3588	1	0.58
Klf11	6.2228	6.2388	1.7727	1.8057	6.2308	1.7892	1	0.58
Eci2	5.4667	5.4372	1.7022	1.6041	5.452	1.6531	1	0.5802
Prrc1	5.9662	5.6933	1.1641	1.4356	5.8297	1.2999	1	0.5806
Wdr47	5.963	5.8295	2.1786	1.8671	5.8962	2.0228	1	0.5806
Rnf19b	6.3167	6.1596	1.5656	1.6604	6.2382	1.613	1	0.5808
Pde6d	5.9874	5.9996	1.3045	1.3346	5.9935	1.3195	1	0.581
Pde7a	6.1913	5.9941	1.2851	1.4678	6.0927	1.3765	1	0.5812
Kmt5a	5.9251	5.8205	1.1427	1.4356	5.8728	1.2892	1	0.5813
Fech	5.5903	5.6923	1.2654	1.419	5.6413	1.3422	1	0.5815
Hectd3	6.242	6.1165	1.342	1.949	6.1793	1.6455	1	0.5815
Pik3ca	6.0695	5.9416	1.1217	1.5748	6.0055	1.3483	1	0.5815
Dtnb	5.8167	5.8955	2.025	2.1702	5.8561	2.0976	1	0.582
Gpat4	6.2308	6.0363	1.342	1.4834	6.1336	1.4127	1	0.5821
A430033K04Rik	5.7435	5.7128	1.1427	1.4678	5.7282	1.3053	1	0.5827
Ppil1	6.0412	5.9082	1.1217	1.5296	5.9747	1.3256	1	0.5829
Akt2	6.121	5.998	1.2054	1.4988	6.0595	1.3521	1	0.5832
Gm23475	5.7491	5.6953	1.2654	1.3346	5.7222	1.3	1	0.5832
Ppa1	6.1645	6.06	1.2054	1.6182	6.1123	1.4118	1	0.5833
Snf8	5.6046	5.3789	1.4494	1.5296	5.4917	1.4895	1	0.5833
Gm12703	6.296	6.1332	1.4147	1.891	6.2146	1.6529	1	0.5834
Sppl2a	5.4812	5.5816	1.5811	1.4027	5.5314	1.4919	1	0.5836
Nepro	5.8488	5.8559	1.4147	1.2259	5.8524	1.3203	1	0.5838
Hist1h1a	5.5044	5.4125	1.7999	1.6466	5.4585	1.7233	1	0.5838
Mrps35	6.0791	6.1011	2.0594	1.6604	6.0901	1.8599	1	0.5838
Gm26377	6.0732	6.0091	1.6276	1.263	6.0411	1.4453	1	0.5838
Acvr1	6.1639	6.0409	1.517	1.3346	6.1024	1.4258	1	0.5839
Gm20390	5.7783	5.8853	1.2461	1.3346	5.8318	1.2903	1	0.5842
Iqcd	6.168	5.9845	1.8659	2.1702	6.0763	2.0181	1	0.5845
Cbfb	6.3204	6.1625	1.5003	1.7416	6.2414	1.6209	1	0.5845
Taf8	5.4177	5.4718	1.4668	1.7286	5.4448	1.5977	1	0.5846
Mapkbp1	5.9071	5.7852	1.0552	1.6041	5.8461	1.3296	1	0.5846
Bcas3	5.7032	5.6004	1.3606	1.3173	5.6518	1.339	1	0.5846
Rabgef1	6.1824	6.1751	1.745	1.4678	6.1788	1.6064	1	0.5849
U2af1	6.2718	6.1953	1.4834	1.891	6.2336	1.6872	1	0.5849
Entpd7	5.5411	5.4627	1.9415	1.688	5.5019	1.8147	1	0.5851
Zbtb24	5.5304	5.5452	1.7587	1.4027	5.5378	1.5807	1	0.5851
Mrps21	5.6606	5.6416	1.3606	1.3173	5.6511	1.339	1	0.5853
C920021L13Rik	5.6606	5.6416	1.3606	1.3173	5.6511	1.339	1	0.5853
Tbc1d7	5.3729	5.5156	1.517	1.7677	5.4443	1.6423	1	0.5855
Thap1	6.1735	6.3081	1.5969	1.7545	6.2408	1.6757	1	0.5856
Zfp810	5.8202	5.7195	1.1852	1.3857	5.7698	1.2855	1	0.5857
Ssr1	6.3073	6.1709	1.7307	1.688	6.2391	1.7094	1	0.5858
Btaf1	6.0153	5.9082	1.2259	1.369	5.9618	1.2975	1	0.5862
Taf5l	6.2686	6.198	1.5003	1.9146	6.2333	1.7074	1	0.5863
Gm26636	5.9662	5.825	1.9169	2.2645	5.8956	2.0907	1	0.5863
Cpeb4	6.1611	6.1202	1.3045	1.5145	6.1406	1.4095	1	0.5864
Cntrob	6.2148	6.093	1.9778	1.8793	6.1539	1.9286	1	0.5864
Chchd2	5.5506	5.4089	1.7022	1.4988	5.4798	1.6005	1	0.5865
Smad5	5.683	5.5365	1.1641	1.5893	5.6098	1.3767	1	0.5866
Adss	6.1831	6.1129	1.4834	1.4027	6.148	1.443	1	0.5866
Paip2	6.1742	6.2745	1.4494	1.8552	6.2244	1.6523	1	0.5866
D830025C05Rik	5.6993	5.7952	1.3785	1.263	5.7473	1.3208	1	0.5867
Proscos	6.1583	6.093	1.2461	1.5597	6.1257	1.4029	1	0.5867
Zbed6	5.8929	5.7574	1.0321	1.715	5.8252	1.3736	1	0.5867
Gm20417	6.2034	5.9506	1.2654	1.4678	6.077	1.3666	1	0.587
Gm28052	5.5228	5.3394	1.5494	1.7545	5.4311	1.6519	1	0.587
D6Wsu163e	6.0419	6.0524	1.3606	1.3346	6.0472	1.3476	1	0.5871
Esd	5.4846	5.3861	1.6875	1.6604	5.4354	1.6739	1	0.5872
Dnajc19	5.5174	5.5354	1.517	1.4027	5.5264	1.4599	1	0.5873
Mcm2	5.581	5.4396	1.4319	1.4678	5.5103	1.4498	1	0.5873
Dguok	5.6389	5.6242	1.1217	1.6466	5.6316	1.3842	1	0.5875
Tbc1d22b	5.5218	5.3394	1.5494	1.7545	5.4306	1.6519	1	0.5877
Cox7a2l	6.1472	6.1468	1.3045	1.5296	6.147	1.417	1	0.5881
Acadm	5.9701	5.9988	1.2851	1.3346	5.9845	1.3098	1	0.5881
Mcm6	5.8497	5.6697	1.2259	1.3522	5.7597	1.289	1	0.5882
Gm9988	5.7619	5.8214	1.1217	1.4678	5.7917	1.2947	1	0.5889
Ormdl2	6.111	5.953	1.1641	1.5145	6.032	1.3393	1	0.5891
Ube4a	5.5347	5.5549	1.2054	1.8307	5.5448	1.518	1	0.5891
Cbr1	5.4555	5.4267	1.7862	1.7803	5.4411	1.7832	1	0.5895
Tmem120b	6.1303	6.1026	2.0367	1.891	6.1164	1.9639	1	0.5895
Washc1	5.5944	5.5614	1.2851	1.4515	5.5779	1.3683	1	0.5897
Lpcat3	5.7221	5.7943	1.4494	1.2259	5.7582	1.3377	1	0.5897
Ino80c	5.4589	5.5889	1.4834	1.4356	5.5239	1.4595	1	0.5899
Tmem55a	6.1735	6.1751	1.2654	1.7933	6.1743	1.5294	1	0.5903
Fam76a	6.0092	5.9266	1.4834	1.2259	5.9679	1.3546	1	0.5904
4931422A03Rik	6.1687	6.1274	2.0018	1.8552	6.1481	1.9285	1	0.5905
Gm20540	5.7527	5.6294	1.2054	1.4027	5.6911	1.3041	1	0.5905
Gm28048	5.8184	5.841	1.1217	1.4515	5.8297	1.2866	1	0.5905
Zfyve26	6.2242	6.2535	1.4668	1.8307	6.2388	1.6487	1	0.5905
Gm45231	5.9013	5.8515	1.4494	1.2073	5.8764	1.3283	1	0.5906
Zscan21	5.6557	5.5266	1.4834	1.3173	5.5912	1.4003	1	0.5907
Prmt2	5.6279	5.6036	1.2461	1.4356	5.6157	1.3409	1	0.5907
Gm44818	5.469	5.397	1.5656	1.903	5.433	1.7343	1	0.5912
Cops6	5.7936	5.6766	1.0772	1.5748	5.7351	1.326	1	0.5913
Mir5615-1	6.2452	6.2165	1.7862	1.6604	6.2309	1.7233	1	0.5914
Camta1	6.1735	6.0714	1.8266	2.1506	6.1224	1.9886	1	0.5914
Mphosph9	6.1153	6.2745	1.5003	1.5296	6.1949	1.5149	1	0.5914
Rbm4	5.7891	5.7243	1.3045	1.2815	5.7567	1.293	1	0.5914
Ripk1	6.131	6.226	1.3785	1.545	6.1785	1.4617	1	0.5914
Sarnp	6.1153	5.9555	1.1641	1.5145	6.0354	1.3393	1	0.5915
Ssbp2	6.2439	6.1849	1.6727	2.0268	6.2144	1.8497	1	0.5915
Snrpe	5.8634	5.962	1.2461	1.3346	5.9127	1.2903	1	0.5921
Gm13999	5.6743	5.6108	1.1427	1.545	5.6426	1.3439	1	0.5921
1810009A15Rik	6.0959	6.0721	1.5331	1.2992	6.084	1.4162	1	0.5922
Clec2d	5.5421	5.5452	1.2461	1.5748	5.5437	1.4105	1	0.5924
Heatr3	5.7435	5.8179	1.1217	1.4678	5.7807	1.2947	1	0.5925
Peli1	6.0344	6.0379	1.0996	1.688	6.0361	1.3938	1	0.5925
Snrnp27	5.6917	5.6607	1.342	1.2992	5.6762	1.3206	1	0.5925
Fam32a	5.5314	5.3825	1.3785	1.7803	5.457	1.5794	1	0.5926
Cklf	5.6694	5.5868	1.3785	1.3173	5.6281	1.3479	1	0.5928
Max	6.3235	6.1625	1.517	1.8793	6.243	1.6982	1	0.5929
6330549D23Rik	5.7032	5.6717	1.1427	1.4834	5.6874	1.3131	1	0.593
Serpinb6a	6.1253	6.224	1.3967	1.5145	6.1747	1.4556	1	0.5931
Sp4	6.1569	6.1695	1.8532	2.0587	6.1632	1.9559	1	0.5937
Gssos2	5.4487	5.4077	1.6276	1.891	5.4282	1.7593	1	0.5937
Cdc20	6.2654	6.0263	1.2654	1.6041	6.1458	1.4348	1	0.5938
Ctnnd1	5.9646	5.9133	1.0772	1.5597	5.9389	1.3185	1	0.5939
Mum1	5.7665	5.4372	2.0018	2.005	5.6019	2.0034	1	0.5939
Ppp1r12c	6.2679	6.2287	1.4834	1.7416	6.2483	1.6125	1	0.5941
Dnajb9	6.1267	6.144	1.2851	1.5145	6.1354	1.3998	1	0.5941
Mir5627	6.1267	6.144	1.2851	1.5145	6.1354	1.3998	1	0.5941
Ints5	6.0995	6.0736	1.5331	1.2992	6.0865	1.4162	1	0.5943
Birc5	6.2583	6.18	1.3785	1.6745	6.2191	1.5265	1	0.5946
Mtrr	6.1804	6.1107	1.4834	1.3857	6.1455	1.4345	1	0.5949
Kdm4a	6.2228	6.1504	1.3231	1.6041	6.1866	1.4636	1	0.595
Cenpc1	5.6791	5.6507	1.0772	1.7018	5.6649	1.3895	1	0.595
Ubr4	6.1303	5.9773	1.1852	1.4988	6.0538	1.342	1	0.5951
Gssos1	5.4645	5.4089	1.7587	1.8671	5.4367	1.8129	1	0.5951
Pik3r3	6.2041	6.196	1.9169	1.7545	6.2	1.8357	1	0.5952
Nradd	5.4901	5.3506	1.6276	1.7933	5.4204	1.7104	1	0.5953
Mir5136	6.0966	6.0736	1.517	1.2992	6.0851	1.4081	1	0.5955
Slc5a3	6.0864	5.9853	2.0479	2.069	6.0359	2.0585	1	0.5956
Inpp5f	5.5934	5.45	1.6429	1.3857	5.5217	1.5143	1	0.5957
Sephs2	6.2407	6.093	1.2654	1.6466	6.1668	1.456	1	0.5958
Bckdha	5.8359	5.6845	1.0996	1.4988	5.7602	1.2992	1	0.5959
Znhit3	5.4656	5.5145	1.4668	1.4834	5.4901	1.4751	1	0.596
Serinc4	5.5675	5.6025	1.2851	1.4356	5.585	1.3604	1	0.5961
Rtf1	6.2439	6.1786	1.84	1.9377	6.2113	1.8888	1	0.5963
Urod	6.2393	6.1107	1.342	2.005	6.175	1.6735	1	0.5963
Cep152	5.6199	5.429	1.2654	1.6041	5.5244	1.4348	1	0.5963
Tpi1	6.1694	5.9374	1.1427	1.6041	6.0534	1.3734	1	0.5964
Mcmbp	5.9952	5.7639	2.147	2.005	5.8796	2.076	1	0.5966
AC153912.3	5.9268	5.9074	1.2054	1.3522	5.9171	1.2788	1	0.5967
Fancf	5.4978	5.4764	1.342	1.5893	5.4871	1.4656	1	0.5967
Crebbp	6.1797	6.1173	1.9538	1.9939	6.1485	1.9738	1	0.5968
Prkag1	5.6108	5.4707	1.5003	1.369	5.5407	1.4347	1	0.5969
Fh1	5.9937	5.9901	1.1852	1.419	5.9919	1.3021	1	0.5972
Epc1	5.9062	6.0059	1.0772	1.6041	5.9561	1.3407	1	0.5972
Mtfp1	5.6016	5.4843	1.84	2.1306	5.543	1.9853	1	0.5973
Gm26681	5.4555	5.4477	1.4494	1.6041	5.4516	1.5268	1	0.5977
Acad9	5.8745	5.8506	2.1577	2.0158	5.8626	2.0867	1	0.5978
Tmem217	5.5109	5.3344	1.5811	1.715	5.4227	1.6481	1	0.598
Polm	5.5559	5.4798	1.6581	1.3857	5.5179	1.5219	1	0.5983
AC133947.2	5.5228	5.4267	1.9169	1.7803	5.4748	1.8486	1	0.5985
Ppp1cb	6.0084	5.875	1.1427	1.4356	5.9417	1.2892	1	0.5985
4931406P16Rik	5.5261	5.5023	1.4319	1.4356	5.5142	1.4338	1	0.5986
Ltv1	5.5421	5.5012	1.3606	1.4678	5.5217	1.4142	1	0.5988
Smap2	5.9316	5.8025	1.1217	1.4356	5.8671	1.2787	1	0.599
Zyg11b	5.7819	5.7099	1.2259	1.3346	5.7459	1.2802	1	0.5993
Ccnj	6.3444	6.0871	1.7862	1.9377	6.2157	1.8619	1	0.5994
Vps33b	5.7989	5.6344	1.1427	1.4515	5.7167	1.2971	1	0.5995
Npc1	6.1824	6.0623	1.1852	1.891	6.1224	1.5381	1	0.5996
3110002H16Rik	5.8912	5.8896	1.0996	2.069	5.8904	1.5843	1	0.5996
Eml4	6.003	5.8655	1.0996	1.4988	5.9342	1.2992	1	0.5996
1110006O24Rik	6.3029	6.2124	1.6126	1.8671	6.2577	1.7398	1	0.5996
B230317F23Rik	6.2222	6.2008	1.6875	2.0479	6.2115	1.8677	1	0.5997
Mrpl23	5.4667	5.3994	1.7862	1.7677	5.4331	1.7769	1	0.5998
Mtor	6.0576	5.9124	1.1427	1.4678	5.985	1.3053	1	0.6
Cfap52	5.5218	5.4101	1.4668	1.5296	5.4659	1.4982	1	0.6001
Fastkd3	6.1824	6.1114	1.4668	1.3857	6.1469	1.4262	1	0.6002
Snrpg	6.0951	6.0524	1.2054	1.4834	6.0738	1.3444	1	0.6002
Spata5l1	6.3223	6.1744	1.5331	1.6466	6.2484	1.5898	1	0.6004
Zfp748	5.6528	5.617	1.0996	1.6604	5.6349	1.38	1	0.6004
Gm24563	5.8228	5.7176	1.0321	1.6604	5.7702	1.3462	1	0.6008
Vps33a	5.8879	5.8611	1.1427	1.4027	5.8745	1.2727	1	0.6011
Sh3gl1	6.1451	6.1173	1.2054	1.6182	6.1312	1.4118	1	0.6012
Slc25a42	5.9937	5.8947	2.147	2.005	5.9442	2.076	1	0.6012
Snora73a	6.2725	6.1925	1.4147	1.6604	6.2325	1.5375	1	0.6012
Cebpzos	5.7079	5.6324	1.3606	1.2815	5.6702	1.3211	1	0.6015
Senp1	6.2308	6.1504	1.2851	1.688	6.1906	1.4865	1	0.6017
Fancd2	5.8608	5.7424	1.2054	1.3346	5.8016	1.27	1	0.6019
Emc3	5.8617	5.7414	1.2054	1.3346	5.8016	1.27	1	0.602
Ccnc	5.4475	5.4546	1.6126	1.5296	5.4511	1.5711	1	0.6022
Clcn7	5.4712	5.4196	1.5811	1.545	5.4454	1.563	1	0.6024
Elp4	5.9071	5.7395	1.2259	1.3173	5.8233	1.2716	1	0.6024
Immp1l	5.9079	5.7395	1.2259	1.3173	5.8237	1.2716	1	0.6025
Mrps6	6.0835	5.9837	2.0594	2.069	6.0336	2.0642	1	0.6025
Hmgb1	6.1913	6.0871	1.2851	1.4988	6.1392	1.3919	1	0.6027
Disp1	5.5055	5.4967	1.9778	1.7933	5.5011	1.8856	1	0.6028
AC107819.3	5.4712	5.5731	1.342	1.4988	5.5221	1.4204	1	0.6028
Htt	6.3073	6.1454	1.5969	1.5296	6.2264	1.5633	1	0.603
Phc1	5.5716	5.3921	1.9042	1.903	5.4819	1.9036	1	0.603
Hspa13	5.7573	5.7386	1.1852	1.369	5.748	1.2771	1	0.603
Snora57	6.0988	6.0699	1.5656	1.2815	6.0843	1.4236	1	0.6031
Alg3	6.2731	6.2145	1.6429	1.9605	6.2438	1.8017	1	0.6031
Hist2h3b	5.443	5.4077	1.745	1.8307	5.4254	1.7878	1	0.6031
Mtfmt	5.4475	5.4821	1.4147	1.5748	5.4648	1.4948	1	0.6031
Fdxr	5.4532	5.3825	1.5494	1.7018	5.4179	1.6256	1	0.6035
Aldh5a1	5.6108	5.5752	1.9899	2.0898	5.593	2.0399	1	0.6035
Xpa	5.8711	5.904	2.147	2.0374	5.8875	2.0922	1	0.6036
Cops9	6.2511	6.1667	1.342	1.903	6.2089	1.6225	1	0.6037
Rab35	6.3073	6.2159	1.5656	1.8432	6.2616	1.7044	1	0.6037
Zfp788	5.5831	5.7185	1.0996	1.6745	5.6508	1.387	1	0.6039
Iqce	6.2865	6.2455	1.6126	1.7933	6.266	1.7029	1	0.6041
Zfp68	5.723	5.8097	1.2054	1.3522	5.7664	1.2788	1	0.6041
Snrnp200	5.7738	5.825	1.1217	1.4356	5.7994	1.2787	1	0.6042
Commd5	5.7079	5.5079	1.1217	1.688	5.6079	1.4048	1	0.6044
AC122335.3	5.5033	5.4809	1.3045	1.6041	5.4921	1.4543	1	0.6047
Usp19	6.313	6.1987	1.7022	1.6745	6.2558	1.6883	1	0.6048
Ap5s1	5.6791	5.8541	1.1641	1.419	5.7666	1.2916	1	0.6049
Lrp10	6.15	6.0432	1.2851	1.419	6.0966	1.3521	1	0.6049
Mfsd12	6.0038	5.9374	2.1577	1.9605	5.9706	2.0591	1	0.6051
Slc25a4	6.1366	6.0012	2.0707	1.9939	6.0689	2.0323	1	0.6051
Snord22	5.9582	5.8418	1.0321	1.6323	5.9	1.3322	1	0.6053
Lpar6	6.003	6.027	1.1217	1.5296	6.015	1.3256	1	0.6054
Nme7	6.2222	6.1504	1.4319	1.4678	6.1863	1.4498	1	0.6054
Cdc16	6.2654	6.1793	1.4147	1.5893	6.2223	1.502	1	0.6056
Cnih1	5.6168	5.3837	1.3606	1.5296	5.5003	1.4451	1	0.6056
Dnajc17	6.159	6.2083	1.2654	1.7286	6.1837	1.497	1	0.6057
Gbe1	5.4258	5.5211	1.3785	1.949	5.4735	1.6637	1	0.6057
Mfsd8	5.4757	5.5688	1.2259	1.715	5.5223	1.4705	1	0.6057
Ufsp2	5.8167	5.8559	1.0321	1.6182	5.8363	1.3252	1	0.606
Sugt1	6.1359	6.1099	1.2054	1.5748	6.1229	1.3901	1	0.606
Pfn2	6.1444	6.1056	2.0133	1.9829	6.125	1.9981	1	0.6065
Rab28	6.1583	6.1547	2.0018	1.891	6.1565	1.9464	1	0.6067
Eya3	6.1797	6.0766	1.3606	1.4027	6.1281	1.3817	1	0.6067
Dnajc9	6.2602	6.1019	1.3967	1.4834	6.181	1.44	1	0.607
Eefsec	5.4304	5.5277	1.9042	1.8793	5.4791	1.8918	1	0.6071
Ahctf1	6.0479	5.9538	1.0772	1.6041	6.0009	1.3407	1	0.6071
Kif3c	5.6289	5.616	2.1365	1.7677	5.6225	1.9521	1	0.6073
Gpn2	6.1479	6.0052	1.1641	1.545	6.0765	1.3546	1	0.6076
Ankrd37	5.5443	5.6324	1.3045	1.4027	5.5883	1.3536	1	0.6079
Pus7	5.6439	5.531	1.5811	1.2815	5.5874	1.4313	1	0.608
Pip4k2c	5.79	5.5837	2.1577	1.903	5.6868	2.0304	1	0.608
Commd10	5.479	5.6647	1.1852	1.6604	5.5719	1.4228	1	0.6085
Polr3b	5.386	5.5332	1.5811	1.5296	5.4596	1.5553	1	0.6087
Gm17040	5.9462	5.8436	2.1786	1.9829	5.8949	2.0808	1	0.6088
Pdcd2l	5.9717	5.9917	1.2461	1.3346	5.9817	1.2903	1	0.6088
Mtpap	5.7882	5.6627	1.2054	1.3522	5.7254	1.2788	1	0.6088
Scaper	5.4735	5.5763	1.3231	1.4988	5.5249	1.4109	1	0.6089
Gm11870	5.5654	5.6727	1.2054	1.4678	5.619	1.3366	1	0.6091
Zfp84	6.2966	6.2287	1.6126	1.6604	6.2627	1.6365	1	0.6092
Sh3glb2	5.6269	5.3306	1.4147	1.5597	5.4788	1.4872	1	0.6094
Eapp	5.951	6.0676	1.0772	1.6745	6.0093	1.3759	1	0.6095
Slc17a5	5.5379	5.3764	1.3785	1.6323	5.4571	1.5054	1	0.6095
Tbca	5.9186	5.893	2.1683	2.005	5.9058	2.0867	1	0.6096
Gm17249	5.3896	5.5387	1.5811	1.5145	5.4641	1.5478	1	0.6096
Abcc5	6.2115	6.1946	1.3967	1.5296	6.203	1.4631	1	0.6097
Ralgapa1	5.5077	5.52	1.342	1.4834	5.5139	1.4127	1	0.6098
Slc25a44	5.5696	5.3861	1.3231	1.6323	5.4778	1.4777	1	0.6101
Clcn3	6.2242	6.2001	1.745	2.0479	6.2121	1.8965	1	0.6101
Tmx4	5.4407	5.5376	1.4668	1.4678	5.4891	1.4673	1	0.6102
Ndufa8	6.0344	6.0332	2.104	2.005	6.0338	2.0545	1	0.6103
Naxd	6.1175	6.1194	1.9778	2.0587	6.1185	2.0182	1	0.6107
Gtf2ird1	6.1811	6.0456	1.3231	1.4027	6.1133	1.3629	1	0.6112
Trappc6b	5.921	5.9006	1.0772	1.4988	5.9108	1.288	1	0.6112
Rrn3	5.921	5.9514	1.0552	1.5748	5.9362	1.315	1	0.6116
Mad2l1	5.6567	5.7704	1.1641	1.419	5.7136	1.2916	1	0.6117
Haus4	5.9219	5.9837	1.9538	2.2461	5.9528	2.1	1	0.6118
Gulp1	5.9381	5.8079	2.0817	2.1603	5.873	2.121	1	0.6118
Spg21	5.5995	5.5538	1.342	1.369	5.5767	1.3555	1	0.6118
Gm24961	6.1423	6.0848	1.1427	1.8184	6.1135	1.4806	1	0.6118
Stip1	6.3505	6.1596	1.5811	1.6323	6.2551	1.6067	1	0.6119
Tgds	5.5654	5.4018	1.9415	1.8671	5.4836	1.9043	1	0.6119
Zfp809	5.5432	5.7137	1.3045	1.369	5.6285	1.3368	1	0.6119
Fam174a	6.0487	6.0036	1.1641	1.4515	6.0261	1.3078	1	0.6122
Fam219b	6.1872	6.1987	1.3967	1.4988	6.193	1.4477	1	0.6123
Mtf2	5.8158	5.7769	1.1427	1.3857	5.7963	1.2642	1	0.6124
1700037C18Rik	5.8298	5.8559	1.0772	1.4834	5.8429	1.2803	1	0.6125
Crem	5.9021	6.0301	1.1427	1.4515	5.9661	1.2971	1	0.6125
AU019823	6.2679	6.2301	1.5331	1.5893	6.249	1.5612	1	0.6133
Sft2d2	5.6626	5.6263	2.104	2.0158	5.6444	2.0599	1	0.6133
Uck1	5.9414	5.8304	1.0772	1.4834	5.8859	1.2803	1	0.6135
Ccdc124	5.6993	5.7943	2.1994	1.8307	5.7468	2.015	1	0.6136
Snhg3	6.2731	6.1925	1.3967	1.6323	6.2328	1.5145	1	0.6136
Klhl7	5.4095	5.4065	1.5656	1.7933	5.408	1.6794	1	0.6136
Cdc37	5.8608	5.7031	1.0321	1.6041	5.782	1.3181	1	0.6142
Otulin	5.5559	5.4569	1.2259	1.7018	5.5064	1.4638	1	0.6143
Tfg	6.0591	5.904	1.1852	1.3857	5.9816	1.2855	1	0.6143
Cgrrf1	6.1465	6.0309	2.0018	2.0898	6.0887	2.0458	1	0.6144
Taf5	6.0382	5.9595	1.2259	1.3522	5.9988	1.289	1	0.6145
Ppp1r21	5.4611	5.3531	1.6276	1.715	5.4071	1.6713	1	0.6147
Zfp949	5.9365	5.8896	1.2851	1.263	5.913	1.2741	1	0.6149
Tbc1d23	5.435	5.4267	1.5494	1.5748	5.4308	1.5621	1	0.615
Mrps17	5.4373	5.3873	1.5331	1.688	5.4123	1.6105	1	0.615
Urgcp	6.0069	6.2015	1.5003	1.3346	6.1042	1.4174	1	0.615
Tmem38b	5.4701	5.499	1.7022	2.1104	5.4845	1.9063	1	0.615
Hist1h2bf	5.8912	5.7723	1.0321	1.5748	5.8318	1.3035	1	0.6153
Gm26513	6.2426	6.1589	1.2851	1.6745	6.2008	1.4798	1	0.6156
Tada2a	5.4396	5.3813	1.6126	1.8793	5.4104	1.746	1	0.6159
1700031P21Rik	6.0944	6.266	1.342	1.5597	6.1802	1.4509	1	0.6159
Chd2	5.8359	5.7002	1.1217	1.419	5.768	1.2703	1	0.6159
Tbce	5.912	6.0332	1.1641	1.419	5.9726	1.2916	1	0.616
Mir6953	5.6704	5.4477	2.0594	1.8793	5.5591	1.9693	1	0.6162
Blzf1	6.2255	6.1518	1.4319	1.4515	6.1887	1.4417	1	0.6164
Gpr180	5.9968	5.9628	1.9778	2.2274	5.9798	2.1026	1	0.6164
Usp49	5.877	5.7732	2.147	2.0796	5.8251	2.1133	1	0.6167
Por	5.8419	5.8989	1.1427	1.3857	5.8704	1.2642	1	0.6167
Arel1	5.8254	5.6992	1.1217	1.419	5.7623	1.2703	1	0.6167
Fcf1	5.8254	5.6992	1.1217	1.419	5.7623	1.2703	1	0.6167
Rffl	5.5496	5.509	1.3045	1.4678	5.5293	1.3862	1	0.6169
Sec23ip	6.126	6.1793	1.9778	1.9829	6.1527	1.9804	1	0.6169
